Disease,Symptoms
Pleural Effusion,"Recent onset, typically mild chest pain, mild shortness of breath, typically severe pleurisy, dullness on percussion, triggered by irritants."
COVID-19 Pneumonia,"Severe loss of taste, shortness of breath, ageusia with mild bilateral lung involvement."
Pleural Effusion,"Severe shortness of breath, associated with massive chest pain, pleurisy, massive decreased chest movement, tracheal deviation, reduced tactile fremitus."
Pneumonia,"Initially presenting with green phlegm, loss of appetite, decreased oxygen levels, Ultimately developing fever, rapid heart rate, decreased breath sounds."
Pneumothorax,"Dry cough and fatigue coinciding with rapid breathing and racing heart rate related to shortness of breath and sudden sharp chest pain, periodic, triggered by exertion."
Pneumonia,"Moderate chest pain (especially moderate), concurrent with difficulty breathing, moderate fever, severe cough, weakness, moderate decreased oxygen levels, confusion, severe coughing up mucus."
Pleural Effusion,"Mild chest pain, dry cough, mild cough on exertion, pleurisy."
COPD,"At rest difficulty breathing (mainly severe), simultaneous with shortness of breath, swollen ankles, at rest decreased exercise tolerance, recurring pneumonia, severe pursed-lip breathing, worse with activity."
Pleural Effusion,"Severe chest pain, increasing dry cough, severe shortness of breath, moderate fever, asymmetrical chest expansion, inability to lie flat, stony dullness, increasing pleurisy, severe cyanosis, cough on exertion."
Pneumonia,"Severe fever, difficulty breathing, coughing up mucus, shallow breathing with mild shortness of breath, rapid heart rate, blue lips."
COVID-19 Pneumonia,"Rapidly worsening, particularly persistent fever, markedly persistent fatigue, markedly persistent shortness of breath, low oxygen saturation, particularly persistent chest pain."
COPD,"Acute on chronic, notably severe chest tightness, moderate shortness of breath, wheezing, occasionally worsening with exertion difficulty breathing, severe persistent cough, severe morning cough, moderate difficulty completing sentences, severe cyanosis, increased with movement."
Tuberculosis,"Severe persistent cough, coughing up blood, weight loss, unintended weight loss, pale skin with mild fever, chest tightness, feverish at night, pleural effusion, paroxysmal."
Pleural Effusion,Fever and reduced tactile fremitus accompanied by dry cough and chest pain correlated with difficulty breathing when lying down and shortness of breath related to rapid breathing and decreased breath sounds.
COVID-19 Pneumonia,"Shortness of breath, ground glass opacities on imaging and nasal congestion (particularly persistent) together with dry cough, low oxygen saturation and fever coinciding with loss of taste, conjunctivitis and fatigue (particularly high) simultaneous with diarrhea."
Pneumothorax,"Iatrogenic, frequently severe sudden sharp chest pain, rapid breathing, typically severe absent breath sounds, frequently severe sudden onset, anxiety, hindering exercise tolerance."
Lung Cancer,Coughing up blood (apparently extreme) in conjunction with shortness of breath (occasionally concerning) in combination with pathological fractures (apparently concerning) related to facial swelling.
Pneumonia,"Gradual onset, fever, high difficulty breathing, particularly high cyanosis."
Heart Failure,"Severe rapid heartbeat, fatigue, reduced exercise tolerance with mild swollen legs, jugular vein distention."
Pleural Effusion,"Initially presenting with dry cough, malaise, chest pain, Subsequently developing tracheal deviation, fever, mediastinal shift, interfering with daily activities."
COVID-19 Pneumonia,"Severe dry cough, shortness of breath, loss of taste, COVID toes with mild fatigue, fever, chest pain, sore throat, chest pressure."
Tuberculosis,"Severe coughing up blood with mild weight loss, fatigue, episodic."
Pneumothorax,"Immediately after injury, generally crushing shortness of breath, apparently crushing racing heart rate, remarkably crushing restlessness."
Lung Cancer,"Severe weight loss, horner's syndrome with mild shortness of breath, recurring respiratory infections, bronchial obstruction."
Pleural Effusion,"Dry cough (apparently minimal) associated with respiratory distress (notably substantial) together with shortness of breath (apparently minimal) coinciding with fever (apparently massive) connected with difficulty breathing when lying down, worse when lying down, aggravated by coughing."
Tuberculosis,"Initially presenting with fever, coughing up blood, chest pain, Finally developing night sweats, weight loss, persistent cough, interfering with daily activities."
Heart Failure,"Initially presenting with rapid heartbeat, swollen legs, loss of appetite, Finally developing shortness of breath, swollen ankles, paroxysmal nocturnal dyspnea, impacting work performance."
COVID-19 Pneumonia,"Shortness of breath, loss of taste and bluish lips connected with fatigue, fever and body aches accompanied by chest pain, low oxygen saturation and post-exertional malaise (strikingly asymptomatic)."
COVID-19 Pneumonia,Dizziness simultaneous with shortness of breath (obviously persistent) in conjunction with multi-organ dysfunction together with dry cough (obviously persistent) coinciding with cytokine storm (apparently persistent).
COPD,"Long-term, severe persistent cough, apparently chronic difficulty breathing, wheezing, chronic fatigue, frequent respiratory infections, apparently chronic prolonged expiration, triggered by exertion."
Lung Cancer,"Severe coughing up blood, neck swelling with mild chest pain, persistent cough, neurological symptoms, wheezing, weakness."
Heart Failure,"Initially presenting with loss of appetite, pulmonary edema, reduced exercise tolerance, Eventually developing fatigue, shortness of breath."
COPD,"Severe persistent cough, distant heart sounds, chronic sputum production, swollen ankles with mild difficulty breathing, morning cough."
Pneumothorax,"Immediately after injury, stabbing sudden sharp chest pain, crushing shortness of breath, racing heart rate, crushing cyanosis, occasionally crushing decreased tactile fremitus, compromising respiratory function."
Pneumothorax,"Pain in shoulder and shortness of breath concurrent with anxiety and racing heart rate (particularly intense) linked to decreased breath sounds and hyperresonance, worse after meals."
Heart Failure,"Severe shortness of breath, rapid heartbeat, swollen legs, fatigue, difficulty breathing when lying down, weight gain from fluid with mild swollen ankles, nausea, wheezing."
Pleural Effusion,"Persistent, moderate fever, difficulty breathing when lying down, remarkably increasing dry cough, predominantly worsening cyanosis, moderate malaise."
Pneumothorax,"Severe racing heart rate, dry cough, chest tightness, sudden onset with mild shortness of breath, sudden sharp chest pain, rapid breathing, anxiety, decreased breath sounds, continuous."
Pneumonia,"Low-grade shortness of breath, related to moderate chest pain, low-grade malaise, loss of appetite, rapid breathing."
Lung Cancer,"Weakness concurrent with recurring respiratory infections correlated with chest pain connected with loss of appetite coupled with weight loss (generally severe), intermittent, worsened by lying flat."
Heart Failure,"Fatigue coinciding with orthopnea (remarkably acute) simultaneous with swollen legs, remitting."
Tuberculosis,Chills and fatigue simultaneous with coughing up blood and weight loss (occasionally concerning) in conjunction with chest pain and persistent cough (significantly mild) correlated with fever.
Pneumothorax,"Initially presenting with sudden sharp chest pain, rapid breathing, asymmetrical chest movement, Later developing racing heart rate, dry cough, unilateral chest pain."
Pneumonia,"Improving, intense difficulty breathing, particularly intense chest pain, fever, predominantly intermittent cough, particularly intermittent yellow phlegm, impacting work performance."
Tuberculosis,"Significant persistent cough (occasionally progressive), correlated with mild weight loss, significant loss of appetite, mild chest tightness, pale skin, enlarged lymph nodes."
Pneumothorax,"Initially presenting with shortness of breath, racing heart rate, pain in shoulder, Eventually developing rapid breathing, blue discoloration of skin."
Pneumothorax,"Initially presenting with hypoxemia, racing heart rate, anxiety, Eventually developing unilateral chest pain, reduced chest movement on affected side, sudden sharp chest pain."
Tuberculosis,"Treatment-resistant, night sweats, persistent persistent cough, persistent fever, apparently low-grade weight loss, evidently chronic coughing up blood, typically persistent cachexia, apparently low-grade enlarged lymph nodes."
COVID-19 Pneumonia,"Mild loss of smell (especially persistent), in combination with high fever, high fatigue, dry cough, high nasal congestion, mild silent hypoxemia, persistent chest pain, neurological symptoms."
Pneumothorax,"Crushing rapid breathing, in conjunction with intense sudden sharp chest pain, intense racing heart rate, intense increased respiratory rate, crushing anxiety, sudden onset, hyperresonance."
Pneumonia,"Improving, apparently moderate difficulty breathing, moderate fever, especially low-grade shortness of breath, apparently severe cough, especially low-grade blue lips, fatigue."
Pneumonia,Chest pain and weakness associated with confusion and yellow phlegm along with fatigue and shortness of breath (significantly persistent).
Lung Cancer,"Weight loss, fatigue and coughing up blood associated with shortness of breath, chest pain and horner's syndrome (generally severe) linked to bone pain, wheezing and persistent cough (evidently progressive)."
COVID-19 Pneumonia,"Post-acute sequelae, mild loss of smell, significantly worsening fatigue, frequently mild shortness of breath, significantly asymptomatic fever, chest pressure, bilateral lung involvement, mild diarrhea."
Pleural Effusion,"Severe shortness of breath, rapid heart rate with mild difficulty breathing when lying down, chest pain, fever, malaise."
Tuberculosis,"Initially presenting with joint pain, coughing up blood, weight loss, Ultimately developing night sweats, persistent cough."
Lung Cancer,"Initially presenting with deep vein thrombosis, unexplained fever, weight loss, Later developing chest pain, difficulty swallowing, persistent cough, constraining movement."
Pneumothorax,"Iatrogenic, predominantly stabbing rapid breathing, stabbing racing heart rate, subcutaneous emphysema, markedly sharp increased respiratory rate, asymmetrical chest movement."
Tuberculosis,"Treatment-resistant, coughing up blood, obviously persistent persistent cough, persistent weight loss, mainly concerning fever, mainly persistent pale skin, persistent blood in mucus, hemoptysis."
Pneumonia,"Severe shortness of breath, productive cough with mild chest pain, difficulty breathing, yellow phlegm, rapid heart rate."
Pleural Effusion,"Recurring, shortness of breath, dry cough, moderate fever, occasionally severe chest pain, apparently severe difficulty breathing when lying down, occasionally substantial cough on exertion, severe inability to lie flat, malaise, constraining movement."
Tuberculosis,"Severe fever, chills with mild night sweats, enlarged lymph nodes, cachexia, fatigue, malaise, relapsing."
Pneumonia,"Shortness of breath, difficulty breathing and fever (strikingly intense) coinciding with cough, chest pain and decreased breath sounds related to confusion, green phlegm and blue lips related to fatigue and cyanosis, worse in the morning."
Pneumothorax,"Shortness of breath and racing heart rate simultaneous with reduced chest movement on affected side and sudden sharp chest pain (clearly crushing) connected with asymmetrical chest movement and rapid breathing, heightened by position changes."
Pleural Effusion,"Hiccups and chest pain in conjunction with difficulty breathing when lying down and shortness of breath (clearly severe) coinciding with dry cough and fever, paroxysmal."
COVID-19 Pneumonia,"Severe post-exertional malaise, conjunctivitis, dizziness with mild loss of smell, fatigue, loss of taste, fever, hindering exercise tolerance."
Pneumothorax,"Life-threatening sudden sharp chest pain, simultaneous with racing heart rate, life-threatening rapid breathing, sudden onset, sudden hypoxemia, restlessness, crushing anxiety, remitting."
Pleural Effusion,"Initially presenting with difficulty breathing when lying down, dullness on percussion, chest pain, Subsequently developing hiccups, respiratory distress, positional dyspnea."
Lung Cancer,"Persistent cough, coinciding with weight loss, chest pain, worsening wheezing, headache, worsening recurring respiratory infections, significant unexplained anemia."
Pneumothorax,"Life-threatening rapid breathing, stabbing shortness of breath, life-threatening anxiety, pain in shoulder, increased respiratory rate, decreased tactile fremitus, life-threatening decreased breath sounds, relapsing."
Tuberculosis,"Fever, together with night sweats, swollen lymph nodes, significant bone pain, relapsing."
COPD,"Severe difficulty breathing, shortness of breath, chest tightness, persistent cough, fatigue, bluish lips or fingernails, pursed-lip breathing, frequent respiratory infections, chronic bronchitis with mild wheezing."
COPD,"Severe shortness of breath, unexplained weight loss with mild persistent cough, wheezing, difficulty breathing, pursed-lip breathing."
Pneumonia,"Worsening, persistent cough, shortness of breath, persistent chest pain, notably low-grade difficulty breathing, persistent yellow phlegm, notably low-grade cyanosis, weakness."
Pleural Effusion,"Acute, dry cough, difficulty breathing when lying down, significant chest pain, persistent shortness of breath, clearly significant fever, moderate night sweats, apparently persistent hiccups, notably moderate orthopnea."
COVID-19 Pneumonia,"Loss of taste and cytokine storm related to fatigue and loss of smell related to dry cough and neurological symptoms together with shortness of breath (clearly mild), constant, precipitated by allergens."
Lung Cancer,"Weight loss, debilitating shortness of breath, debilitating neurological symptoms, worse when lying down."
Pneumonia,"Initially presenting with green phlegm, coughing up mucus, rapid heart rate, Finally developing weakness, fever, cough."
COPD,"Initially presenting with shortness of breath, hyperinflated lungs, chronic bronchitis, Later developing chronic sputum production, decreased breath sounds, wheezing."
COPD,"Chronic bronchitis and swollen ankles (typically at rest) in conjunction with persistent cough and recurring pneumonia (commonly chronic) associated with wheezing and producing mucus (commonly significant), remitting."
COPD,"Severe chest tightness, difficulty breathing, persistent cough, frequent respiratory infections, decreased exercise tolerance, distant heart sounds, morning cough with mild chronic sputum production, worse when lying down."
Tuberculosis,"Persistent cough, chronic coughing up blood, low-grade fever, chronic chills, recurring."
Lung Cancer,"Debilitating coughing up blood, unexplained shortness of breath, unexplained fatigue, pathological fractures, loss of appetite, shoulder pain, unexplained anemia, unexplained pleural effusion."
COVID-19 Pneumonia,"Severe fatigue with mild dry cough, headache, relapsing."
Lung Cancer,"Rapidly deteriorating, weight loss, progressive persistent cough, occasionally progressive shortness of breath, debilitating chest pain, weakness, especially progressive facial swelling, bone pain, constraining movement."
Heart Failure,"Severe shortness of breath, swollen legs, persistent cough with mild orthopnea, restricting physical activity."
COPD,"Significant difficulty breathing (apparently chronic), linked to significant wheezing, worsening with exertion decreased exercise tolerance, worsening with exertion chronic bronchitis, chronic frequent respiratory infections, aggravated by coughing."
Pneumothorax,Rapid breathing and shortness of breath related to blue discoloration of skin and hypotension linked to racing heart rate and sudden sharp chest pain (mainly life-threatening).
Pleural Effusion,"Initially presenting with fever, rapid heart rate, shortness of breath, Ultimately developing difficulty breathing when lying down, chest pain, night sweats."
Lung Cancer,"Weight loss, persistent persistent cough, persistent shortness of breath, coughing up blood, weakness, paraneoplastic syndromes, significant difficulty swallowing, severe deep vein thrombosis, significant neck swelling."
COPD,"Progressive, at rest chest tightness, consistently at rest difficulty breathing, remarkably at rest persistent cough, occasionally mild shortness of breath, occasionally at rest wheezing, severe difficulty completing sentences, mild swollen ankles, morning cough."
Pleural Effusion,"Dry cough, simultaneous with fever, shortness of breath, worsening dyspnea, night sweats."
Pneumothorax,"Initially presenting with sudden onset, racing heart rate, dry cough, Ultimately developing rapid breathing, shortness of breath, fatigue."
Pneumothorax,"Primary, consistently tension rapid breathing, life-threatening shortness of breath, consistently sharp sudden sharp chest pain, commonly life-threatening hypoxemia, typically sharp unilateral chest pain, increased with movement, restricting physical activity."
COVID-19 Pneumonia,"Severe fatigue, dry cough, fever, shortness of breath, nasal congestion, multi-organ dysfunction, nausea with mild loss of taste, bluish lips, conjunctivitis."
Pneumonia,"Intense difficulty breathing, chest pain, severe fever, intense shortness of breath, severe cough, high productive cough, sweating, intense green phlegm, loss of appetite, cyanosis, coughing up mucus, worse when lying down."
Heart Failure,"Recurring, especially slight shortness of breath, slight rapid heartbeat, especially worsening S3 heart sound, increased with movement."
Heart Failure,"Initially presenting with shortness of breath, swollen legs, heart palpitations, Finally developing persistent cough, wheezing, S3 heart sound."
Pneumothorax,"Acute, significant shortness of breath, rapid breathing, strikingly stabbing sudden sharp chest pain, remarkably stabbing racing heart rate, apparently significant fatigue, remarkably stabbing dry cough, apparently tension sudden onset, precipitated by allergens."
COVID-19 Pneumonia,"Severe dry cough, ground glass opacities on imaging, rapid deterioration, bluish lips, cytokine storm with mild shortness of breath, loss of smell, loss of taste, fatigue, low oxygen saturation, episodic, limiting mobility."
COPD,"Mild wheezing (especially mild), together with mild persistent cough, at rest bluish lips or fingernails, at rest swollen ankles, recurring pneumonia, producing mucus, worsened by lying flat."
Pleural Effusion,"Acute, persistent fever, massive shortness of breath, massive chest pain, significantly persistent difficulty breathing when lying down, massive cough on exertion, markedly massive asymmetrical chest expansion, cyanosis."
Tuberculosis,"Fatigue, pain with breathing and chest tightness (particularly significant) coupled with reduced lung function, persistent cough and anemia symptoms in conjunction with fever, night sweats and coughing up blood, worse after meals, induced by respiratory infections."
Pneumonia,"Initially presenting with shortness of breath, difficulty breathing, blue lips, Ultimately developing cough, cyanosis, wheezing."
COPD,"Seasonal worsening, obviously chronic difficulty breathing, during activity persistent cough, chronic chest tightness, chronic shortness of breath, characteristically during activity wheezing, chronic limited airflow, decreased breath sounds, morning cough, exacerbated by cold air."
Tuberculosis,"Moderate night sweats (especially concerning), coupled with mild coughing up blood, concerning weight loss, fever, chills."
COPD,"Acute exacerbation wheezing, moderate persistent cough, chronic difficulty breathing, fatigue."
Pneumothorax,"Initially presenting with decreased breath sounds, racing heart rate, shortness of breath, Finally developing increased respiratory rate, hyperresonance, restlessness."
Pneumothorax,"Severe rapid breathing, racing heart rate, reduced chest movement on affected side with mild unilateral chest pain."
Lung Cancer,"Persistent chest pain, persistent shortness of breath, progressive superior vena cava syndrome, headache, recurring respiratory infections, unexplained unexplained anemia, hoarseness."
Pneumothorax,"Initially presenting with restlessness, shortness of breath, subcutaneous emphysema, Subsequently developing asymmetrical chest movement, sudden sharp chest pain, anxiety."
Tuberculosis,"Ongoing for months, especially low-grade fever, occasionally low-grade weight loss, low-grade persistent cough, night sweats, pain with breathing, commonly low-grade pale skin, low-grade enlarged lymph nodes, induced by respiratory infections."
Pneumothorax,Unilateral chest pain and racing heart rate (occasionally sharp) connected with shortness of breath and rapid breathing related to reduced chest movement on affected side and cyanosis.
Pleural Effusion,"Mild shortness of breath, moderate dry cough, chest pain, minimal difficulty breathing when lying down, malaise, hiccups, mild orthopnea, pleurisy."
Pneumothorax,"Significant sudden sharp chest pain, along with shortness of breath, racing heart rate, rapid breathing, absent breath sounds, dry cough, pain in shoulder, stabbing blue discoloration of skin."
Heart Failure,"Initially presenting with swollen legs, rapid heartbeat, persistent cough, Later developing crackling lung sounds, swollen ankles, shortness of breath."
Heart Failure,"Decompensating, rapid heartbeat, fatigue, typically worsening crackling lung sounds, notably worsening weight gain from fluid, worsening loss of appetite."
Tuberculosis,"Night sweats, along with persistent cough, severe fatigue, severe unintended weight loss, severe pleural effusion, severe anemia symptoms."
Pneumothorax,"Severe shortness of breath, blue discoloration of skin, restlessness, reduced chest movement on affected side, asymmetrical chest movement, decreased tactile fremitus with mild sudden sharp chest pain, racing heart rate, rapid breathing."
COPD,"Shortness of breath, severe wheezing, at rest difficulty breathing, severe decreased exercise tolerance, chronic bronchitis, barrel chest, at rest limited airflow."
Pneumonia,"Severe shortness of breath, chest pain, malaise, wheezing with mild cough, confusion."
Pneumothorax,"Initially presenting with decreased breath sounds, shortness of breath, rapid breathing, Finally developing sudden sharp chest pain, racing heart rate, tracheal deviation."
Pleural Effusion,"Persistent dry cough, concurrent with persistent shortness of breath, difficulty breathing when lying down, chest pain, respiratory distress, severe orthopnea, worsening decreased breath sounds, worsening malaise, decreasing exercise capacity."
Pleural Effusion,"Recurring, persistent shortness of breath, frequently increasing difficulty breathing when lying down, clearly worsening decreased breath sounds, persistent positional dyspnea, generally persistent rapid breathing."
Pneumonia,"Initially presenting with cough, productive cough, shortness of breath, Ultimately developing difficulty breathing, fever, chest pain, affecting quality of life."
Pleural Effusion,"Minimal difficulty breathing when lying down, along with minimal chest pain, dry cough, shortness of breath, mild rapid breathing, reduced tactile fremitus, dullness on percussion, severe decreased breath sounds."
COVID-19 Pneumonia,"Shortness of breath and post-exertional malaise (evidently asymptomatic) associated with loss of taste and chills accompanied by confusion and body aches in combination with ground glass opacities on imaging, cyclical, triggered by irritants."
COVID-19 Pneumonia,"Severe dry cough, shortness of breath, fatigue, anosmia, rapid deterioration with mild loss of taste, loss of smell, headache, ageusia, conjunctivitis, impairing functional capacity."
COPD,"Persistent cough, producing mucus and shortness of breath (predominantly worsening with exertion) simultaneous with chest tightness, limited airflow and difficulty breathing (obviously during activity) connected with cyanosis, barrel chest and unexplained weight loss in conjunction with fatigue."
COPD,"Limited airflow and frequent respiratory infections along with shortness of breath and chest tightness associated with wheezing and morning cough in conjunction with decreased exercise tolerance and cyanosis (typically severe), escalated during sleep."
COPD,"Initially presenting with difficulty breathing, wheezing, shortness of breath, Finally developing persistent cough, chest tightness, chronic sputum production."
Lung Cancer,"Initially presenting with neck swelling, shortness of breath, unexplained fever, Finally developing coughing up blood, paraneoplastic syndromes, persistent cough."
Lung Cancer,Pathological fractures accompanied by persistent cough (generally severe) related to difficulty swallowing (notably severe) together with chest wall pain coupled with chest pain (generally severe).
Heart Failure,"Moderate shortness of breath, connected with swollen legs, swollen ankles, persistent fatigue, increasing S3 heart sound, paroxysmal nocturnal dyspnea, moderate weight gain from fluid, impacting work performance."
Pleural Effusion,"Initially presenting with pleurisy, shortness of breath, dry cough, Eventually developing rapid heart rate, fever, chest pain."
Tuberculosis,"Low-grade fever, accompanied by night sweats, coughing up blood, significant weakness, enlarged lymph nodes, low-grade feverish at night, chills, worse after meals."
Tuberculosis,"Persistent persistent cough, along with weight loss, mild night sweats, feverish at night, anemia symptoms, severe cachexia, triggered by irritants."
COPD,"Chronic bronchitis along with unexplained weight loss related to chest tightness (apparently during activity) together with bluish lips or fingernails in combination with shortness of breath (particularly end-stage), increased with movement."
COVID-19 Pneumonia,"Subacute, characteristically progressive loss of taste, shortness of breath, nausea, worsening multi-organ dysfunction, low oxygen saturation."
Pleural Effusion,"Exudate, characteristically severe chest pain, difficulty breathing when lying down, moderate fever, dry cough, increasing shortness of breath, increasing tracheal deviation, characteristically increasing respiratory distress, cough on exertion."
COPD,"Long-term, chronic persistent cough, chronic chest tightness, at rest shortness of breath, obviously chronic wheezing, difficulty breathing, mild barrel chest, chronic bronchitis, mild swollen ankles."
COVID-19 Pneumonia,"Severe fatigue, fever, shortness of breath, nasal congestion, COVID toes with mild loss of taste, confusion, cytokine storm."
Pleural Effusion,"Dry cough, moderate chest pain, dyspnea, increasing reduced tactile fremitus."
Heart Failure,"Initially presenting with wheezing, swollen ankles, shortness of breath, Ultimately developing rapid heartbeat, loss of appetite, jugular vein distention, compromising respiratory function."
Pneumonia,"Mild difficulty breathing (notably mild), accompanied by shortness of breath, acute fever, chest pain, productive cough, malaise, intense confusion, acute cyanosis, worsened by lying flat."
COPD,"Moderate shortness of breath, persistent cough, moderate chest tightness, recurring pneumonia, mild pursed-lip breathing, interfering with daily activities."
Pneumonia,"Chest pain and fever (particularly moderate) simultaneous with shortness of breath and decreased breath sounds correlated with confusion and difficulty breathing (notably intense), cyclical."
COVID-19 Pneumonia,"Initially presenting with loss of smell, fever, post-exertional malaise, Eventually developing dizziness, multi-organ dysfunction, bluish lips."
COPD,"Persistent cough, in conjunction with end-stage chest tightness, shortness of breath, pursed-lip breathing, moderate swollen ankles."
Pneumonia,"Fever, severe shortness of breath, severe difficulty breathing, cough, moderate chest pain, malaise, confusion."
Pneumothorax,"Sudden rapid breathing (occasionally life-threatening), coupled with racing heart rate, sudden sudden sharp chest pain, asymmetrical chest movement, sudden sudden onset, blue discoloration of skin, aggravated by coughing."
Pneumothorax,"Racing heart rate, intense shortness of breath, sudden rapid breathing, sudden fatigue, sudden pain in shoulder, sudden onset, chest tightness, stabbing chest pressure, sudden decreased tactile fremitus."
COPD,"Severe shortness of breath, limited airflow, chronic sputum production with mild wheezing, difficulty breathing, chest tightness."
Pleural Effusion,"Persistent fever, persistent shortness of breath, substantial difficulty breathing when lying down, moderate cough on exertion, unilateral symptoms, pleuritic pain, inability to lie flat, persistent rapid breathing, episodic, developing."
Heart Failure,"Initially presenting with rapid heartbeat, chest congestion, swollen ankles, Subsequently developing pulmonary edema, swollen legs, shortness of breath."
Pneumonia,"Chronic, frequently high fever, high cough, characteristically mild shortness of breath, generally intense difficulty breathing, chest pain, mild coughing up mucus, generally intense weakness, frequently high rapid breathing, disrupting sleep."
Pleural Effusion,Pleuritic pain in combination with shortness of breath together with dry cough associated with difficulty breathing when lying down simultaneous with chest pain (generally significant).
Pneumothorax,Decreased tactile fremitus and anxiety related to reduced chest movement on affected side and shortness of breath related to rapid breathing and increased respiratory rate in combination with sudden sharp chest pain and chest pressure.
Pneumonia,"Chest pain, high difficulty breathing, cough, high shortness of breath, low-grade fever, rapid breathing, low-grade headache."
COVID-19 Pneumonia,"Severe fever with mild loss of smell, fatigue, confusion, intermittent."
Heart Failure,"Initially presenting with nausea, fatigue, shortness of breath, Eventually developing swollen ankles."
Pneumonia,Confusion and difficulty breathing (remarkably acute) correlated with yellow phlegm and fever (generally severe) in conjunction with cough and shortness of breath accompanied by chest pain (clearly mild).
Pneumothorax,"Severe racing heart rate (consistently intense), linked to intense sudden sharp chest pain, rapid breathing, absent breath sounds."
Heart Failure,"Significant swollen ankles, fatigue, severe shortness of breath, significant liver enlargement, significant decreased alertness, orthopnea, wheezing, severe irregular heartbeat, significant edema, worse in the morning."
COVID-19 Pneumonia,"Dry cough, fever, moderate fatigue, acute rapid deterioration, body aches, chills, bilateral lung involvement, acute."
Pneumonia,"Gradual onset, fever, predominantly acute cough, shortness of breath, commonly acute chest pain, particularly low-grade difficulty breathing, particularly low-grade yellow phlegm, low-grade sweating, predominantly acute blue lips."
Tuberculosis,"Severe night sweats, fever, hemoptysis with mild persistent cough, weight loss."
Lung Cancer,"Initially presenting with wheezing, bone pain, bronchial obstruction, Later developing deep vein thrombosis, clubbing of fingertips, weight loss."
Pneumonia,"Cough coinciding with chest pain (remarkably moderate) correlated with blue lips in combination with confusion (obviously acute), cyclical, heightened by position changes."
COPD,"Acute on chronic, frequently worsening with exertion difficulty breathing, obviously worsening with exertion shortness of breath, at rest frequent respiratory infections, limited airflow, obviously worsening with exertion bluish lips or fingernails."
Heart Failure,"Fatigue, along with slight swollen legs, shortness of breath, slight rapid heartbeat, swollen ankles, jugular vein distention, constraining movement."
Pneumonia,"Chest pain, high cough, high difficulty breathing, fever, shortness of breath, high rapid breathing, blue lips, high coughing up mucus, sudden onset."
COVID-19 Pneumonia,"Severe fatigue (mainly moderate), related to fever, high ground glass opacities on imaging, cytokine storm, severe nausea, confusion."
COVID-19 Pneumonia,"COVID toes, fatigue and rapid deterioration associated with bluish lips, fever and dry cough linked to diarrhea, chills and low oxygen saturation, triggered by exertion."
COVID-19 Pneumonia,"Mild loss of taste, correlated with severe fever, mild dry cough, progressive shortness of breath, mild loss of smell, headache, COVID toes, progressive myalgia, progressive dizziness."
Pneumonia,Difficulty breathing (strikingly persistent) related to shortness of breath associated with fatigue (strikingly moderate).
Pleural Effusion,"Recent onset, evidently moderate chest pain, evidently minimal shortness of breath, fever, occasionally moderate dry cough, difficulty breathing when lying down, persistent night sweats, persistent cough on exertion, pleural friction rub."
Pleural Effusion,"Unilateral symptoms, rapid breathing and chest pain in combination with fever, pleurisy and difficulty breathing when lying down coinciding with shortness of breath, dry cough and dullness on percussion connected with rapid heart rate, constant."
Tuberculosis,"Severe fever, weight loss, coughing up blood with mild malaise, chest pain, enlarged lymph nodes, paroxysmal."
Tuberculosis,"Persistent cough (evidently mild) correlated with unintended weight loss (evidently extreme) correlated with weight loss (markedly moderate) together with fever connected with coughing up blood, amplified by stress."
COPD,"Lifelong, shortness of breath, wheezing, mild persistent cough, mild chronic bronchitis, mild morning cough, difficulty completing sentences."
Lung Cancer,"Persistent cough, concerning chest pain, concerning coughing up blood, concerning weight loss, bone pain, life-limiting horner's syndrome, neck swelling, refractory to treatment."
Pleural Effusion,"Significant difficulty breathing when lying down (significantly significant), along with moderate chest pain, minimal dry cough, fever, moderate shortness of breath, significant mediastinal shift, minimal inability to lie flat, decreased chest movement."
Lung Cancer,"Bronchial obstruction (significantly unexplained) together with weight loss (predominantly significant) in conjunction with persistent cough concurrent with deep vein thrombosis together with shortness of breath (predominantly unexplained), episodic, escalated during sleep."
Lung Cancer,"Persistent cough coupled with horner's syndrome (occasionally severe) connected with shortness of breath (frequently progressive), intermittent."
COVID-19 Pneumonia,"Fatigue, worsening fever, loss of taste, worsening chills, body aches, mild dizziness, severe skin rash, mild neurological symptoms."
Pneumothorax,"Rapid breathing and pain in shoulder connected with hypoxemia and hypotension concurrent with absent breath sounds and chest pressure (apparently life-threatening) correlated with asymmetrical chest movement and sudden sharp chest pain, worse when lying down."
Pneumothorax,"Sudden sudden sharp chest pain, intense racing heart rate, intense shortness of breath, life-threatening rapid breathing, chest tightness, at rest."
Pleural Effusion,"Initially presenting with rapid breathing, mediastinal shift, reduced tactile fremitus, Subsequently developing chest pain, shortness of breath, cough on exertion."
Pneumothorax,"Secondary, rapid breathing, shortness of breath, commonly sudden anxiety, impacting work performance."
COPD,"Lifelong, predominantly at rest shortness of breath, at rest wheezing, consistently at rest chest tightness, at rest difficulty completing sentences, swollen ankles, chronic bronchitis."
Pleural Effusion,"Cough on exertion, chest pain and asymmetrical chest expansion correlated with dry cough, hiccups and positional dyspnea (mainly substantial) simultaneous with difficulty breathing when lying down, rapid breathing and shortness of breath (obviously substantial) associated with fever (mainly worsening)."
Heart Failure,"Swollen ankles, worsening fatigue, worsening S3 heart sound, need to sleep upright, chest congestion, worsening persistent cough, wheezing, decreased alertness, impairing functional capacity."
